"","formula","(Intercept)","commons","sr.sum","transh","sr.spr","cic","nitrogeno","potasio","fosforo","ph","df","logLik","AIC","delta","weight"
"1","1 + sr.sum + (commons + transh)",27.3828164926579,"+",-2.07942267208853,"+",,,,,,,7,-171.887655152457,357.775310304913,0,0.119349746065661
"2","1 + sr.spr + sr.sum + (commons + transh)",30.8090904457716,"+",-4.62911286885334,"+",8.35185096475579,,,,,,8,-170.945575650371,357.891151300741,0.115840995828023,0.112633335830662
"3","1 + sr.spr + sr.sum + cic + nitrogeno + (commons + transh)",38.3663435911011,"+",-5.34418062962561,"+",11.3999151477972,-0.619434400982924,9.98453616507182,,,,10,-169.154215791552,358.308431583103,0.533121278190379,0.091423045537946
"4","1 + sr.sum + cic + (commons + transh)",33.2845781991959,"+",-2.08408427668657,"+",,-0.343031568798777,,,,,8,-171.225409494145,358.450818988289,0.675508683376222,0.0851405894305365
"5","1 + sr.spr + sr.sum + potasio + (commons + transh)",36.8614967770672,"+",-5.22270220430136,"+",8.87612187864976,,,-0.0224412642223532,,,9,-170.365785397873,358.731570795746,0.956260490832904,0.0739898542978835
"6","1 + sr.sum + potasio + (commons + transh)",32.5724604384703,"+",-2.46485679219168,"+",,,,-0.0199512783482827,,,8,-171.44428053822,358.888561076439,1.11325077152605,0.0684041051318648
"7","1 + sr.spr + sr.sum + cic + (commons + transh)",34.8978398709016,"+",-4.2670956876151,"+",7.154165181423,-0.266211241001377,,,,,9,-170.553789651115,359.107579302229,1.33226899731602,0.0613088206954508
"8","1 + sr.spr + sr.sum + nitrogeno + (commons + transh)",30.0119397354348,"+",-5.26361341114172,"+",10.7290060186678,,4.06772679523054,,,,9,-170.607140489849,359.214280979699,1.43897067478565,0.0581236645259256
"9","1 + sr.sum + cic + nitrogeno + (commons + transh)",34.7866096650977,"+",-1.95341218733971,"+",,-0.581585567034094,5.97234494292656,,,,9,-170.66108108196,359.322162163921,1.54685185900792,0.0550714975036251
"10","1 + sr.sum + fosforo + (commons + transh)",25.8319995158556,"+",-1.99906156975399,"+",,,,,0.0382774607140789,,8,-171.791566436005,359.58313287201,1.80782256709654,0.048334565261184
"11","1 + sr.spr + sr.sum + cic + ph + nitrogeno + (commons + transh)",18.6467157319856,"+",-6.03440875892976,"+",12.1448169402663,-0.694734733144408,10.5661739799659,,,3.13123820522227,11,-168.820037831993,359.640075663986,1.86476535907286,0.0469778185987619
"12","1 + sr.spr + sr.sum + ph + potasio + (commons + transh)",10.6220280755344,"+",-6.52023178632657,"+",10.1971993878695,,,-0.0339812215436206,,4.42667552966213,10,-169.839836748065,359.679673496129,1.90436319121619,0.0460568558277623
"13","1 + sr.sum + ph + (commons + transh)",23.2721494238127,"+",-2.17207366967116,"+",,,,,,0.610969161298216,8,-171.875248064796,359.750496129591,1.97518582467808,0.0444544608186306
"14","1 + sr.spr + sr.sum + ph + (commons + transh)",21.2949289111358,"+",-4.95075566875538,"+",8.69268088777378,,,,,1.4348733260306,9,-170.876089267406,359.752178534811,1.97686822989846,0.0444170813342195
"15","1 + sr.sum + nitrogeno + (commons + transh)",27.1128861821947,"+",-2.06553169454263,"+",,,0.619515282989135,,,,8,-171.878400105781,359.756800211562,1.98148990664902,0.0443145591398871
